Game Name,Original Price,Sale Price,Sale Rate,Date
SHINOBI 복수의 참격,27800,25020,10%,2025-08-05
Discounty: 크레이지 마트,22800,18240,20%,2025-08-05
GOST of Time,11800,9440,20%,2025-08-05
헨타이 열정 퍼즐 (Passion Puzzle: Hentai Maidens!),19990,15990,20%,2025-08-05
Ritual of Raven,27000,24300,10%,2025-08-05
Hit! Spin! Watermelon Party,8000,5000,38%,2025-08-05
GRADIUS ORIGINS,53800,48420,10%,2025-08-05
범인은 어디에?,3900,2900,26%,2025-08-05
JALECOlle Famicom Ver. Saiyuuki World II - The Demon God of Heaven -  & WHOMP'EM,11000,9900,10%,2025-08-05
Fate/hollow ataraxia REMASTERED,32000,28800,10%,2025-08-05
미스테리 호텔 : 숨은 그림 찾기 (Mystery Hotel: Hidden Objects),18000,15300,15%,2025-08-05
MOTTAINAI GHOST,11320,10180,10%,2025-08-05
The Aquarium does not dance,21500,17200,20%,2025-08-05
Astral Takers,22680,20410,10%,2025-08-05
악마와의 데이트 (Date with Devils),19000,17100,10%,2025-08-05
The Wizard of Bug,14500,11600,20%,2025-08-05
ION Shift 이온 이동,8300,6640,20%,2025-08-05
Maiden Cops,18500,16650,10%,2025-08-05
분실물 주인을 찾아라!,3900,2900,26%,2025-08-05
A Dream About Parking Lots,7000,5600,20%,2025-08-05
로맨싱 사가 2 리벤지 오브 더 세븐 Nintendo Switch 2 Edition,59800,41860,30%,2025-08-05
글자 찾기！,3900,2900,26%,2025-08-05
Yosei Wars,4990,3490,30%,2025-08-05
Sugoi Girls: Firefighter Love,9000,2990,67%,2025-08-05
Tales of the Shire: A The Lord of the Rings™ Game,39500,35500,10%,2025-08-05
Azure Striker Gunvolt Trilogy Enhanced,49800,44820,10%,2025-08-05
나의 동물병원: 반려동물 의사의 하루하루,23900,9900,59%,2025-08-05
Yabai Girls: Elegant Egyptian,9000,2990,67%,2025-08-05
Waffle Kitty,8100,1990,75%,2025-08-05
Hyperdimension Neptunia Re;Birth1,49000,43900,10%,2025-08-05
Make it! Choco Banana,7000,5000,29%,2025-08-05
보물 탐험대,3900,2900,26%,2025-08-05
Secret Paws - Cozy Offices,6000,4800,20%,2025-08-05
Giant Flee,8600,4300,50%,2025-08-05
Strike Mission,12000,7200,40%,2025-08-05
Formula Racing GP: Apex Overtaking,20590,13790,33%,2025-08-05
THE EXIT: LIMINAL SUPERMARKET HORROR,10990,6930,37%,2025-08-05
God Wars,19000,17100,10%,2025-08-05
Neon Noodles,20000,16000,20%,2025-08-05
Cottonville,15000,2990,80%,2025-08-05
물고기 어디 있지?,3900,2900,26%,2025-08-05
Collectible Cars Shop Simulator,18900,9990,47%,2025-08-05
The Wandering Village,32000,28800,10%,2025-08-05
Sugoi Girls: Pretty Patriot,9000,2990,67%,2025-08-05
Our Summer Festival 2,16500,12500,24%,2025-08-05
Hogtie,17750,5990,66%,2025-08-05
Neko Gelato,8350,1990,76%,2025-08-05
Yabai Girls: Saucy Police,9000,2990,67%,2025-08-05
SUSHI vs BURGER Race,12000,9000,25%,2025-08-05
Oirbo,21900,17520,20%,2025-08-05
Vessels of Decay,20500,16400,20%,2025-08-05
Fortune's Favor,25000,18750,25%,2025-08-05
