Game Name,Original Price,Sale Price,Sale Rate,Date,Page Link
데이브 더 다이버 (DAVE THE DIVER),24000,15600,35%,2025-08-07,https://store.nintendo.co.kr/70010000060369
피크민 4,64800,45360,30%,2025-08-07,https://store.nintendo.co.kr/70010000063718
젤다의 전설 꿈꾸는 섬,64800,45360,30%,2025-08-07,https://store.nintendo.co.kr/70010000022823
끝내주게 춤춰라 메이드 인 와리오,54800,38360,30%,2025-08-07,https://store.nintendo.co.kr/70010000068680
뉴 슈퍼 마리오브라더스 U 디럭스,64800,45360,30%,2025-08-07,https://store.nintendo.co.kr/70010000017149
페르소나5 더 로열 (PERSONA5 THE ROYAL),69800,27920,60%,2025-08-07,https://store.nintendo.co.kr/70010000043097
It Takes Two,47000,23500,50%,2025-08-07,https://store.nintendo.co.kr/70070000014923
유니콘 오버로드(Unicorn Overlord),69800,38390,45%,2025-08-07,https://store.nintendo.co.kr/70010000065197
옥토패스 트래블러 II (OCTOPATH TRAVELER II),69800,27920,60%,2025-08-07,https://store.nintendo.co.kr/70010000058125
Overcooked! All You Can Eat,41000,13940,66%,2025-08-07,https://store.nintendo.co.kr/70010000037360
마리오 vs. 동키콩,54800,38360,30%,2025-08-07,https://store.nintendo.co.kr/70010000072193
버블보블 4 프렌즈,49800,14940,70%,2025-08-07,https://store.nintendo.co.kr/70010000024515
DOOM + DOOM II,11420,4560,60%,2025-08-07,https://store.nintendo.co.kr/70010000078056
짱구는 못말려 나와 박사의 여름 방학~끝나지 않는 7일간의 여행~,59800,29900,50%,2025-08-07,https://store.nintendo.co.kr/70010000049558
역전재판 456 오도로키 셀렉션,54800,27400,50%,2025-08-07,https://store.nintendo.co.kr/70010000067774
짱구는 못말려 번들,124600,74760,40%,2025-08-07,https://store.nintendo.co.kr/70070000026005
Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션),34800,11480,67%,2025-08-07,https://store.nintendo.co.kr/70010000015845
짱구는 못 말려『탄광마을의 흰둥이』,64800,45360,30%,2025-08-07,https://store.nintendo.co.kr/70010000075307
다함께 쿠키요미4,8900,5340,40%,2025-08-07,https://store.nintendo.co.kr/70010000088682
MONSTER HUNTER RISE + SUNBREAK 세트,69800,17450,75%,2025-08-07,https://store.nintendo.co.kr/70070000013806
드래곤 퀘스트 III HD-2D Remake,69800,45370,35%,2025-08-07,https://store.nintendo.co.kr/70010000077712
XCOM 2 컬렉션,54000,8100,85%,2025-08-07,https://store.nintendo.co.kr/70010000025494
역전검사 1&2 미츠루기 셀렉션,44800,33600,25%,2025-08-07,https://store.nintendo.co.kr/70010000078418
13기병방위권,64800,25920,60%,2025-08-07,https://store.nintendo.co.kr/70010000046017
마리오와 소닉 AT 2020 도쿄 올림픽™,59800,29900,50%,2025-08-07,https://store.nintendo.co.kr/70010000013896
진・여신전생5 Vengeance,74800,41140,45%,2025-08-07,https://store.nintendo.co.kr/70010000064455
마리오 + 래비드 반짝이는 희망(MARIO + RABBIDS SPARKS OF HOPE),64800,11000,83%,2025-08-07,https://store.nintendo.co.kr/70010000054004
차근차근 게임 코딩,32800,22960,30%,2025-08-07,https://store.nintendo.co.kr/70010000041269
2020 도쿄 올림픽 - The Official Video Game™,45800,13740,70%,2025-08-07,https://store.nintendo.co.kr/70010000009567
귀멸의 칼날 히노카미 혈풍담,59800,17940,70%,2025-08-07,https://store.nintendo.co.kr/70010000048382
Unravel Two,24000,7200,70%,2025-08-07,https://store.nintendo.co.kr/70010000015567
Super Bunny Man,16000,12000,25%,2025-08-07,https://store.nintendo.co.kr/70010000075281
