Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
호그와트 레거시 Hogwarts Legacy,79800,15960,80%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000062279
Overcooked! All You Can Eat,41000,13940,66%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000037360
다함께 쿠키요미,5250,2620,50%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000027865
8번 출구,4500,3600,20%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000079121
장미와 동백 - 호화찬란 버전,15560,6220,60%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000062210
미제사건은 끝내야 하니까,10800,7560,30%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000083095
도시전설 해체센터,19500,17550,10%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000073248
동물 타워 배틀,4800,3360,30%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000083838
8번 승강장,4500,3600,20%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000085175
저스트 댄스 2025 에디션,59000,23500,60%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70070000020994
PICO PARK 2,9900,6930,30%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077282
ENDER MAGNOLIA: Bloom in the Mist,34000,22100,35%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000078172
태고의 달인 쿵딱! 원더풀 페스티벌 태고 뮤직 패스 90일 이용권 세트,69800,23800,66%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000057569
Moving Out,32600,6520,80%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000029909
나인 솔즈 (Nine Sols),34800,20880,40%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000073075
Untitled Goose Game,20500,10250,50%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000067772
프린세스 메이커 2 리제네레이션（Princess Maker 2 Regeneration）,38900,19450,50%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000067840
호그와트 레거시Hogwarts Legacy,79800,55860,30%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000095419
TUNIC,39200,19600,50%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000058412
PICO PARK,5500,3850,30%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000019265
The Witcher 3: Wild Hunt — Complete Edition,64800,16200,75%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000020989
ENDER LILIES: Quietus of the Knights,27980,11190,60%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000035190
괴혼 ~굴려라 돌아온 왕자님~,32800,6800,79%,2025-08-30,2025/9/16 23:59,https://store.nintendo.co.kr/70010000035378
사이버펑크 2077: 얼티밋 에디션,89900,80900,10%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000095549
드래곤볼 파이터즈,29800,4800,84%,2025-08-30,2025/9/16 23:59,https://store.nintendo.co.kr/70010000012963
Shift Happens,12000,1200,90%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000052333
다함께 쿠키요미2 ～레이와～,5250,2620,50%,2025-08-30,2025/9/23 23:59,https://store.nintendo.co.kr/70010000031984
No Man's Sky Nintendo Switch 2 Edition,64800,25920,60%,2025-08-30,2025/9/8 23:59,https://store.nintendo.co.kr/70010000099218
Biped,15500,3100,80%,2025-08-30,2025/9/5 23:59,https://store.nintendo.co.kr/70010000030271
마녀의 샘R,49800,32370,35%,2025-08-30,2025/9/8 02:59,https://store.nintendo.co.kr/70010000080740
"Little Kitty, Big City",29900,17940,40%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077505
No Man's Sky,64800,25920,60%,2025-08-30,2025/9/8 23:59,https://store.nintendo.co.kr/70010000044639
Crazy Trucks,19990,1000,95%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000046495
