status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,카이코와 코코쉬: 색칠 놀이 책,13360,1990,85%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000050077
added,DAMN,9800,2940,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000090645
added,ANNO: Mutationem,27800,15290,45%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000053237
added,Subway Simulator - Underground Train Ride Station Ultimate Driving Games,14990,2590,83%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000066247
added,Dinosaur RPG - Dino Survival Simulator Survivor,13990,6990,50%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000087565
added,"Wash Simulator - Clean Garage, House, Cars Business Tycoons",19990,2790,86%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000066819
added,BODY CAM SHOOTER,14990,6990,53%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000089521
added,Subway Simulator 2025 - City Train,18590,2990,84%,2025-08-09,2025/8/23 23:59,https://store.nintendo.co.kr/70010000095950
added,Drum Pad,8250,1990,76%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000088921
added,Warzone Chronicles: Virtual Warfare Shooter,15990,6690,58%,2025-08-09,2025/8/23 23:59,https://store.nintendo.co.kr/70010000074296
added,고양이들의 설날 방문,4490,3360,25%,2025-08-09,2025/8/24 23:59,https://store.nintendo.co.kr/70010000091797
added,Bid Battle: Auction War Simulator Storage Hunter,17990,2990,83%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000082597
added,Rusty Spout Rescue Adventure,8000,2400,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000029802
added,Hentai World,19830,1990,90%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000064094
added,Teppo and The Secret Ancient City,10500,3150,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000058405
added,Last Beat Enhanced,12990,3890,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000054558
added,Matsutake Game,3700,1850,50%,2025-08-09,2025/9/5 23:59,https://store.nintendo.co.kr/70010000080905
added,선 헤이븐,35000,24500,30%,2025-08-09,2025/9/5 23:59,https://store.nintendo.co.kr/70010000073885
added,CrashMetal - Drift Racing Car Driving Simulator 2022 Games,15990,2890,82%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000055020
added,Dyna Bomb,4500,1350,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000019421
added,Airplane Delivery Simulator 2024: Realistic Geographical,11990,2990,75%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000078084
added,nPaint,24950,1990,92%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000061116
added,"Mudness Offroad Car Simulator - 4x4 Racing Games Driving, Parking, Battle, Tuning 2022 SIM Kart",18990,2990,84%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000052419
added,100 Demon Fantasia,10000,4000,60%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000074715
added,W.A.R.P.,6200,1860,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000059322
added,ESCAPE - BACKROOMS HORROR,6990,5440,22%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000085050
added,TCG Card Market Simulator,12990,6990,46%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000090370
added,Overdelivery - Delivery Simulator,10990,2790,75%,2025-08-09,2025/8/23 23:59,https://store.nintendo.co.kr/70010000079109
added,MFC - Midnight Fight Club,14000,6990,50%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000085361
added,WINGSPAN (윙스팬),21500,10750,50%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000043991
added,Border Police: Contraband Simulator 2024,8990,6990,22%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000087478
added,Lies as a Starting Point,11000,5500,50%,2025-08-09,2025/9/5 23:59,https://store.nintendo.co.kr/70010000068224
added,GigaBash,32000,12800,60%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000065818
added,Truck Simulator 2023 - Driver Europe,19990,2990,85%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000067246
added,Flight Simulator Delivery: Cargo Business,13990,6990,50%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000087006
added,정원의 작은 친구,19910,1990,90%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000070809
added,Ghosts and Apples featuring Jack Redrum,11990,3590,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000046230
added,BMX CITY RUN,13990,4190,70%,2025-08-09,2025/8/23 23:59,https://store.nintendo.co.kr/70010000096403
added,Escape String,9700,2910,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000057035
added,The Unexpected Quest,20000,3000,85%,2025-08-09,2025/8/29 23:59,https://store.nintendo.co.kr/70010000085638
added,Dyna Bomb 2,20000,6000,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000045687
added,Ghost Sweeper,5000,1500,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000028812
added,얼티밋 치킨 호스,16000,7200,55%,2025-08-09,2025/8/29 23:59,https://store.nintendo.co.kr/70010000027445
added,AirJet Fighter Sky Dominators: Aerial Assault,18890,2990,84%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000071802
added,Disney Dreamlight Valley,50400,35280,30%,2025-08-09,2025/8/17 23:59,https://store.nintendo.co.kr/70010000033553
added,Call of Sentinels,12000,9600,20%,2025-08-09,2025/8/29 23:59,https://store.nintendo.co.kr/70010000087992
added,Battle Rockets™,10000,7000,30%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000096530
added,Treasures of The Roman Empire,9350,2800,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000056907
added,Shootvaders: The Beginning,9200,2760,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000063011
added,스피릿티,21500,12900,40%,2025-08-09,2025/8/23 23:59,https://store.nintendo.co.kr/70010000072466
added,After Wave: Downfall,19900,5970,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000041797
added,Superliminal,24000,12000,50%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000028671
added,Fighter Aces: Sky Dominance,17990,6800,62%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000088578
added,The Skylia Prophecy,8000,2400,70%,2025-08-09,2025/8/31 23:59,https://store.nintendo.co.kr/70010000037912
added,Floor Plan Puzzle (Red Room Simulator),5600,4480,20%,2025-08-09,2025/9/4 23:59,https://store.nintendo.co.kr/70010000098606
added,Instants,13500,10800,20%,2025-08-09,2025/8/14 23:59,https://store.nintendo.co.kr/70010000094950
added,고양이들이 크리스마스 마을을 방문 : Cats Visiting Christmas Town,4990,3740,25%,2025-08-09,2025/8/24 23:59,https://store.nintendo.co.kr/70010000090040
added,Flames of Damnation,11590,3000,74%,2025-08-09,2025/8/23 23:59,https://store.nintendo.co.kr/70010000091099
added,고양이들의 여행 서부 개척 시대 : Cats Visiting Wild West,4990,3740,25%,2025-08-09,2025/8/24 23:59,https://store.nintendo.co.kr/70010000099579
added,Truck Mechanic Sim 2025,14990,1000,93%,2025-08-09,2025/8/22 23:59,https://store.nintendo.co.kr/70010000091449
removed,Paper Cut Mansion,20500,3070,85%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000052100
removed,Toon Toon Racing,13990,3490,75%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000080565
removed,Planet of Lana,24900,9960,60%,2025-08-08,2025/8/8 23:59,https://store.nintendo.co.kr/70010000073406
removed,네코 베이커리,10100,1990,80%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000094044
removed,LEGO® Bricktales,31000,4650,85%,2025-08-08,2025/8/8 23:59,https://store.nintendo.co.kr/70010000052106
removed,Zombie Police: Christmas Dancing with Police Zombies,13700,10270,25%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000091762
removed,PROGRESS ORDERS,27090,18960,30%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000079963
removed,Highway Bikers: Moto Racing Simulator - 하이웨이 바이커: 모토 레이싱 시뮬레이터,9990,2700,73%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000095734
removed,Island Cities (아일랜드 시티),3300,2310,30%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000070928
removed,SteamWorld Heist II,35400,14160,60%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000079273
removed,몬케이지 Moncage,15500,10850,30%,2025-08-08,요청 오류,https://store.nintendo.co.kr/70010000052322
