status,Game Name,Original Price,Sale Price,Sale Rate,Date,Page Link
added,Urban Car Driver Simulator: City Explorer Challenge,14990,2990,80%,2025-08-08,https://store.nintendo.co.kr/70010000091114
added,Blaster Master Zero 3,16000,8000,50%,2025-08-08,https://store.nintendo.co.kr/70010000038473
added,Terra Nil,27000,10800,60%,2025-08-08,https://store.nintendo.co.kr/70010000072946
added,Rocket Strike: Deep Space,10980,5480,50%,2025-08-08,https://store.nintendo.co.kr/70010000099276
added,Zombie Blocks: Pixel Shooter Gun,10990,2990,73%,2025-08-08,https://store.nintendo.co.kr/70010000090697
added,마지브릭（Magibrick）,7500,3000,60%,2025-08-08,https://store.nintendo.co.kr/70010000097966
added,SCHEDULE I - MAFIA EMPIRE,17990,4290,76%,2025-08-08,https://store.nintendo.co.kr/70010000098163
added,Divine Dynamo Flamefrit,6900,4830,30%,2025-08-08,https://store.nintendo.co.kr/70010000081443
added,걸☆건 더블 피스,52800,18480,65%,2025-08-08,https://store.nintendo.co.kr/70010000041113
added,GUNVOLT RECORDS 사이크로니클,19800,9900,50%,2025-08-08,https://store.nintendo.co.kr/70010000068795
added,Blaster Master Zero,9800,4900,50%,2025-08-08,https://store.nintendo.co.kr/70010000041519
added,Gunvolt Chronicles: Luminous Avenger iX 2,29800,11920,60%,2025-08-08,https://store.nintendo.co.kr/70010000044143
added,One Lonely Outpost,21500,17200,20%,2025-08-08,https://store.nintendo.co.kr/70010000036281
added,Nine Nights - Martial Ci Lang Story,13990,2790,80%,2025-08-08,https://store.nintendo.co.kr/70010000079047
added,Moto Racer Simulator GT Games,14990,1000,93%,2025-08-08,https://store.nintendo.co.kr/70010000069584
added,Azure Striker GUNVOLT: STRIKER PACK,49800,22410,55%,2025-08-08,https://store.nintendo.co.kr/70010000013625
added,Azure Striker GUNVOLT 3,39800,17910,55%,2025-08-08,https://store.nintendo.co.kr/70010000039776
added,Unicorns - The Troll Adventure,20890,6260,70%,2025-08-08,https://store.nintendo.co.kr/70010000095251
added,Fling to the Finish,20310,15230,25%,2025-08-08,https://store.nintendo.co.kr/70010000067253
added,요리사 진,19000,9500,50%,2025-08-08,https://store.nintendo.co.kr/70010000073215
added,Gunvolt Chronicles: Luminous Avenger iX,19800,9900,50%,2025-08-08,https://store.nintendo.co.kr/70010000020273
added,HeistGeist (하이스트가이스트),21500,19350,10%,2025-08-08,https://store.nintendo.co.kr/70010000103411
added,Rally Race: Offroad Simulator,17990,2790,84%,2025-08-08,https://store.nintendo.co.kr/70010000073465
added,World War Battle Heroes Field Armies Call of Prison Duty Simulator,6900,1000,86%,2025-08-08,https://store.nintendo.co.kr/70010000061377
added,Zombie Police: Christmas Dancing with Police Zombies,13700,10270,25%,2025-08-08,https://store.nintendo.co.kr/70010000091762
added,ULTRASHOT: Kill Protocol,12360,6960,44%,2025-08-08,https://store.nintendo.co.kr/70010000102433
added,걸☆건2,39000,13650,65%,2025-08-08,https://store.nintendo.co.kr/70010000012974
added,Demons Are Coming!,13660,3990,71%,2025-08-08,https://store.nintendo.co.kr/70010000100962
added,Twin Fighters X,3800,3420,10%,2025-08-08,https://store.nintendo.co.kr/70010000098850
added,데이 오브 더 쉘 (Day of the Shell),18700,16830,10%,2025-08-08,https://store.nintendo.co.kr/70010000101991
added,Trench Shooter : Warfare Tactics,17990,2990,83%,2025-08-08,https://store.nintendo.co.kr/70010000089793
