status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Unboxing - Idle Factory Simulator,13990,2790,80%,2025-08-13,2025/8/26 23:59,https://store.nintendo.co.kr/70010000078434
added,Water Blast Shooter - Wet Gun,10990,2990,73%,2025-08-13,2025/8/26 23:59,https://store.nintendo.co.kr/70010000086245
added,Stuff it!,9650,1990,79%,2025-08-13,2025/9/8 23:59,https://store.nintendo.co.kr/70010000099214
added,KING OF FIGHTERS R-2,7900,4740,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000031830
added,픽셀 페인트,12450,1990,84%,2025-08-13,2025/9/8 23:59,https://store.nintendo.co.kr/70010000059309
added,THE KING OF FIGHTERS XIII GLOBAL MATCH,29800,14900,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000062312
added,열혈경파 쿠니오군 외전 리버시티 걸즈 제로,16500,8250,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000057172
added,FATAL FURY FIRST CONTACT,7900,4740,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000034000
added,냥자의 모험,19800,5940,70%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000041249
added,달콤한 중력,3990,2790,30%,2025-08-13,2025/9/8 23:59,https://store.nintendo.co.kr/70010000087368
added,좀비 패닉 인 원더랜드 DX,10000,5000,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000022792
added,사무라이 메이든 ~SAMURAI MAIDEN~,79200,23760,70%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000056045
added,열혈외전 멋지다! 코바야시,15000,3750,75%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000023733
added,가챠 레이싱 2nd,12000,2400,80%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000013831
added,Kizuna AI - Touch the Beat!,49200,24600,50%,2025-08-13,2025/8/24 23:59,https://store.nintendo.co.kr/70010000060055
added,NIPPON 마라톤,15000,4500,70%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000014731
added,라디오해머 스테이션,8000,4800,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000009847
added,길티기어 이그젝스 액센트 코어 플러스 R,14800,3700,75%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000012664
added,BIG BANG PRO WRESTLING,7900,4740,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000045326
added,큐브 크리에이터 X,34800,8700,75%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000013363
added,BIOMOTOR UNITRON,7900,4740,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000045316
added,GUILTY GEAR,12000,3760,69%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000014443
added,다운타운 열혈이야기 SP,39800,19900,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000070161
added,퇴마인법첩 ~요괴지옥변~,8000,2400,70%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000024428
added,SAMURAI SHODOWN!2,7900,4740,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000024851
added,열혈삼국지,44800,22400,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000051981
added,NEOGEO POCKET COLOR SELECTION Vol.1,44000,22000,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000032659
added,검과 마법과 학원 퀘스트,49800,9960,80%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000054133
added,인페르노 클라이머 리본,15000,3400,77%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000019221
added,Attack Strategy - Battle Simulator Accurate,12990,2590,80%,2025-08-13,2025/8/25 23:59,https://store.nintendo.co.kr/70010000066927
added,COGEN: 오오토리 코하쿠와 시간의 검,27600,13800,50%,2025-08-13,2025/8/24 23:59,https://store.nintendo.co.kr/70010000029137
added,CODE SHIFTER,20000,4000,80%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000015902
added,NEOGEO POCKET COLOR SELECTION Vol.2,49800,34860,30%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000060374
added,송버드 심포니,15400,4620,70%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000036824
added,참! 참! 참!,18000,4500,75%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000009403
added,닌진:당근 전쟁,15000,4500,70%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000018065
added,RWBY 애로우펠,39800,19900,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000063212
added,THE LAST BLADE: Beyond the Destiny,7900,4740,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000033036
added,"""METAL SLUG 1st & 2nd MISSION"" Double Pack",14900,8940,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000034005
added,열혈경파 쿠니오군 외전 리버시티 걸즈 2,39800,19900,50%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000047084
added,SNK GALS' FIGHTERS,7900,4740,40%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000028017
added,Hentai Golf,28620,1990,93%,2025-08-13,2025/9/8 23:59,https://store.nintendo.co.kr/70010000074473
added,신대개척시대 ~마을을 만들자~,12000,3600,70%,2025-08-13,2025/8/27 23:59,https://store.nintendo.co.kr/70010000013556
added,Magical Girl Dash,6990,2790,60%,2025-08-13,2025/8/26 23:59,https://store.nintendo.co.kr/70010000078429
removed,스트라이크 포스 키티 (Strike Force Kitty),8000,4000,50%,2025-08-12,2025/8/12 23:59,https://store.nintendo.co.kr/70010000041668
removed,Book Supermarket: Library Manager Simulator - 도서 슈퍼마켓: 도서관 관리자 시뮬레이터,7990,2700,66%,2025-08-12,2025/8/17 23:59,https://store.nintendo.co.kr/70010000094328
removed,페르소나4 더 골든 (Persona 4 The Golden),19800,11880,40%,2025-08-12,2025/8/12 23:59,https://store.nintendo.co.kr/70010000060322
removed,The Coma 2B: Catacomb,16500,11550,30%,2025-08-12,2025/8/12 23:59,https://store.nintendo.co.kr/70010000084971
removed,꿀벌 시뮬레이터,39800,5970,85%,2025-08-12,2025/8/12 23:59,https://store.nintendo.co.kr/70010000025848
removed,Kumamon Run,6300,3150,50%,2025-08-12,2025/8/12 23:59,https://store.nintendo.co.kr/70010000074770
removed,잼잼(Jamjam),7000,4550,35%,2025-08-12,2025/8/12 23:59,https://store.nintendo.co.kr/70010000089786
